Fecha,IPC
ene-00,54.68
feb-00,54.94
mar-00,55.24
abr-00,55.52
may-00,55.53
jun-00,55.56
jul-00,55.85
ago-00,56.11
sep-00,56.43
oct-00,56.56
nov-00,56.59
dic-00,56.68
ene-01,56.79
feb-01,56.93
mar-01,57.21
abr-01,56.98
may-01,56.99
jun-01,56.96
jul-01,57.06
ago-01,56.88
sep-01,56.92
oct-01,56.94
nov-01,56.66
dic-01,56.61
ene-02,56.31
feb-02,56.29
mar-02,56.59
abr-02,57.01
may-02,57.09
jun-02,56.96
jul-02,56.98
ago-02,57.03
sep-02,57.30
oct-02,57.71
nov-02,57.48
dic-02,57.47
ene-03,57.60
feb-03,57.87
mar-03,58.52
abr-03,58.49
may-03,58.47
jun-03,58.19
jul-03,58.10
ago-03,58.11
sep-03,58.44
oct-03,58.46
nov-03,58.56
dic-03,58.89
ene-04,59.21
feb-04,59.85
mar-04,60.13
abr-04,60.11
may-04,60.33
jun-04,60.67
jul-04,60.78
ago-04,60.78
sep-04,60.79
oct-04,60.77
nov-04,60.95
dic-04,60.94
ene-05,61.00
feb-05,60.86
mar-05,61.26
abr-05,61.33
may-05,61.41
jun-05,61.57
jul-05,61.63
ago-05,61.52
sep-05,61.46
oct-05,61.55
nov-05,61.60
dic-05,61.85
ene-06,62.16
feb-06,62.50
mar-06,62.79
abr-06,63.11
may-06,62.78
jun-06,62.69
jul-06,62.59
ago-06,62.67
sep-06,62.69
oct-06,62.72
nov-06,62.54
dic-06,62.56
ene-07,62.56
feb-07,62.73
mar-07,62.94
abr-07,63.06
may-07,63.37
jun-07,63.66
jul-07,63.97
ago-07,64.05
sep-07,64.45
oct-07,64.65
nov-07,64.72
dic-07,65.01
ene-08,65.16
feb-08,65.75
mar-08,66.43
abr-08,66.54
may-08,66.78
jun-08,67.30
jul-08,67.67
ago-08,68.07
sep-08,68.46
oct-08,68.88
nov-08,69.09
dic-08,69.34
ene-09,69.41
feb-09,69.36
mar-09,69.61
abr-09,69.62
may-09,69.59
jun-09,69.36
jul-09,69.49
ago-09,69.34
sep-09,69.28
oct-09,69.37
nov-09,69.29
dic-09,69.51
ene-10,69.71
feb-10,69.94
mar-10,70.13
abr-10,70.15
may-10,70.32
jun-10,70.50
jul-10,70.75
ago-10,70.94
sep-10,70.92
oct-10,70.82
nov-10,70.82
dic-10,70.95
ene-11,71.23
feb-11,71.50
mar-11,72.00
abr-11,72.49
may-11,72.48
jun-11,72.55
jul-11,73.12
ago-11,73.32
sep-11,73.56
oct-11,73.79
nov-11,74.11
dic-11,74.31
ene-12,74.24
feb-12,74.48
mar-12,75.05
abr-12,75.45
may-12,75.48
jun-12,75.45
jul-12,75.52
ago-12,75.90
sep-12,76.31
oct-12,76.19
nov-12,76.09
dic-12,76.28
ene-13,76.37
feb-13,76.30
mar-13,76.99
abr-13,77.19
may-13,77.34
jun-13,77.54
jul-13,77.97
ago-13,78.39
sep-13,78.47
oct-13,78.50
nov-13,78.33
dic-13,78.46
ene-14,78.71
feb-14,79.19
mar-14,79.60
abr-14,79.91
may-14,80.09
jun-14,80.22
jul-14,80.56
ago-14,80.49
sep-14,80.62
oct-14,80.93
nov-14,80.81
dic-14,80.99
ene-15,81.13
feb-15,81.38
mar-15,82.00
abr-15,82.32
may-15,82.78
jun-15,83.06
jul-15,83.43
ago-15,83.75
sep-15,83.77
oct-15,83.89
nov-15,84.18
dic-15,84.56
ene-16,84.87
feb-16,85.02
mar-16,85.53
abr-16,85.54
may-16,85.72
jun-16,85.84
jul-16,85.91
ago-16,86.21
sep-16,86.39
oct-16,86.75
nov-16,87.00
dic-16,87.29
ene-17,87.50
feb-17,87.78
mar-17,88.93
abr-17,88.70
may-17,88.32
jun-17,88.18
jul-17,88.36
ago-17,88.95
sep-17,88.94
oct-17,88.52
nov-17,88.34
dic-17,88.48
ene-18,88.59
feb-18,88.82
mar-18,89.25
abr-18,89.13
may-18,89.14
jun-18,89.44
jul-18,89.78
ago-18,89.90
sep-18,90.07
oct-18,90.15
nov-18,90.26
dic-18,90.42
ene-19,90.48
feb-19,90.60
mar-19,91.25
abr-19,91.44
may-19,91.57
jun-19,91.49
jul-19,91.68
ago-19,91.74
sep-19,91.74
oct-19,91.84
nov-19,91.94
dic-19,92.14
ene-20,92.19
feb-20,92.32
mar-20,92.92
abr-20,93.01
may-20,93.20
jun-20,92.96
jul-20,93.39
ago-20,93.28
sep-20,93.41
oct-20,93.43
nov-20,93.91
dic-20,93.96
ene-21,94.66
feb-21,94.54
mar-21,95.33
abr-21,95.23
may-21,95.49
jun-21,95.98
jul-21,96.95
ago-21,97.90
sep-21,98.30
oct-21,98.87
nov-21,99.22
dic-21,100.00
ene-22,100.04
feb-22,100.35
mar-22,101.84
abr-22,102.82
may-22,103.21
jun-22,104.44
jul-22,105.42
ago-22,106.13
sep-22,106.68
oct-22,107.05
nov-22,107.60
dic-22,108.46
ene-23,108.70
feb-23,109.02
mar-23,110.39
abr-23,111.01
may-23,111.36
jun-23,111.19
jul-23,111.62
ago-23,112.04
sep-23,112.06
oct-23,111.70
nov-23,111.52
dic-23,111.97
ene-24,111.99
feb-24,112.62
mar-24,113.75
abr-24,113.69
may-24,113.59
jun-24,113.73
